,Url,BPM,BPM_Per_Year,MP,MPG,Pk,Player,Tm,VORP,VORP_Per_Year,WS,WS/48,WS_Per_Year,Year,Yrs
841,http://www.basketball-reference.com/players/r/radicni01.html,0.0,0.0,0.0,0.0,57,Nikola Radicevic,DEN,0.0,0.0,0.0,0.0,0.0,2015,0.0
842,http://www.basketball-reference.com/players/r/radmavl01.html,-0.1,-0.00833333333333,16164.0,21.9,12,Vladimir Radmanovic,OKC,7.7,2.20833333333,26.5,0.079,2.20833333333,2001,12.0
843,http://www.basketball-reference.com/players/r/radojal01.html,-9.4,-4.7,152.0,10.1,12,Aleksandar Radojevic,TOR,-0.3,-0.2,-0.4,0.0,-0.2,1999,2.0
844,http://www.basketball-reference.com/players/r/rakocig01.html,-7.1,-7.1,244.0,5.8,51,Igor Rakocevic,MIN,-0.3,0.1,0.1,0.022,0.1,2000,1.0
845,http://www.basketball-reference.com/players/r/rakovmi01.html,0.0,0.0,0.0,0.0,60,Milovan Rakovic,DAL,0.0,0.0,0.0,0.0,0.0,2007,0.0
846,http://www.basketball-reference.com/players/r/ramospe01.html,-18.3,-18.3,20.0,3.3,32,Peter John Ramos,WAS,-0.1,0.0,0.0,0.0,0.0,2004,1.0
847,http://www.basketball-reference.com/players/r/randlju01.html,-1.9,-0.633333333333,4432.0,28.4,7,Julius Randle,LAL,0.1,1.7,5.1,0.055,1.7,2014,3.0
848,http://www.basketball-reference.com/players/r/randoan01.html,-2.1,-0.35,3841.0,15.2,14,Anthony Randolph,GSW,-0.1,0.966666666667,5.8,0.072,0.966666666667,2008,6.0
849,http://www.basketball-reference.com/players/r/randoza01.html,-0.4,-0.025,33108.0,31.3,19,Zach Randolph,POR,13.5,4.975,79.6,0.115,4.975,2001,16.0
850,http://www.basketball-reference.com/players/r/rautian01.html,-16.0,-16.0,24.0,4.8,38,Andy Rautins,NYK,-0.1,-0.2,-0.2,0.0,-0.2,2010,1.0
851,http://www.basketball-reference.com/players/r/reddmi01.html,0.9,0.075,20104.0,32.0,43,Michael Redd,MIL,14.9,4.65833333333,55.9,0.134,4.65833333333,2000,12.0
852,http://www.basketball-reference.com/players/r/redicjj01.html,0.1,0.00909090909091,17165.0,24.9,11,J.J. Redick,ORL,9.2,4.22727272727,46.5,0.13,4.22727272727,2006,11.0
853,http://www.basketball-reference.com/players/r/reedju01.html,-5.9,-1.96666666667,1436.0,10.6,40,Justin Reed,BOS,-1.4,0.166666666667,0.5,0.016,0.166666666667,2004,3.0
854,http://www.basketball-reference.com/players/r/reidry01.html,-5.5,-5.5,17.0,3.4,57,Ryan Reid,OKC,0.0,0.1,0.1,0.0,0.1,2010,1.0
855,http://www.basketball-reference.com/players/r/rentzef01.html,-4.7,-4.7,144.0,4.1,23,Efthimi Rentzias,PHI,-0.1,0.2,0.2,0.0,0.2,1996,1.0
856,http://www.basketball-reference.com/players/r/rhodero01.html,-6.6,-2.2,1234.0,17.1,24,Rodrick Rhodes,HOU,-1.4,-0.533333333333,-1.6,-0.064,-0.533333333333,1997,3.0
857,http://www.basketball-reference.com/players/r/ricegl02.html,-7.3,-3.65,152.0,9.5,35,Glen Rice,WAS,-0.2,-0.1,-0.2,0.0,-0.1,2013,2.0
858,http://www.basketball-reference.com/players/r/richach01.html,-3.5,-1.75,780.0,11.1,41,Chris Richard,MIN,-0.3,0.35,0.7,0.045,0.35,2007,2.0
859,http://www.basketball-reference.com/players/r/richaja01.html,1.3,0.1,29241.0,34.1,5,Jason Richardson,GSW,24.4,4.54615384615,59.1,0.097,4.54615384615,2001,13.0
860,http://www.basketball-reference.com/players/r/richajo01.html,0.3,0.15,2721.0,25.9,40,Josh Richardson,MIA,1.6,2.35,4.7,0.083,2.35,2015,2.0
861,http://www.basketball-reference.com/players/r/richama01.html,-5.5,-5.5,198.0,9.0,22,Malachi Richardson,SAC,-0.2,0.1,0.1,0.0,0.1,2016,1.0
862,http://www.basketball-reference.com/players/r/richaqu01.html,-0.3,-0.0230769230769,20785.0,26.5,18,Quentin Richardson,LAC,8.9,2.52307692308,32.8,0.076,2.52307692308,2000,13.0
